seed,split,space,cosine,l2
202,bootstrap,raw,0.8332842588424683,57.785621643066406
202,bootstrap,z,0.9990521669387817,0.4772157073020935
203,bootstrap,raw,0.8409172296524048,56.34663772583008
203,bootstrap,z,0.9998799562454224,0.1568128764629364
204,bootstrap,raw,0.8380479216575623,56.615577697753906
204,bootstrap,z,0.9999935626983643,0.03850965201854706
205,bootstrap,raw,0.8336496949195862,57.76576614379883
205,bootstrap,z,0.9992843866348267,0.3758438527584076
206,bootstrap,raw,0.8333118557929993,57.63727951049805
206,bootstrap,z,0.9990752935409546,0.4381004571914673
207,bootstrap,raw,0.8336093425750732,57.68118667602539
207,bootstrap,z,0.999523401260376,0.3568192720413208
208,bootstrap,raw,0.8261070847511292,58.453922271728516
208,bootstrap,z,0.9982507824897766,0.7599993944168091
209,bootstrap,raw,0.8340052366256714,57.577178955078125
209,bootstrap,z,0.9991557598114014,0.4156510531902313
210,bootstrap,raw,0.8359914422035217,57.34459686279297
210,bootstrap,z,0.9999988079071045,0.01707431860268116
211,bootstrap,raw,0.8369119167327881,57.12345886230469
211,bootstrap,z,0.9997537732124329,0.2271387130022049
212,bootstrap,raw,0.8327974677085876,58.14380645751953
212,bootstrap,z,0.9988386631011963,0.4820278584957123
213,bootstrap,raw,0.8305221796035767,57.895263671875
213,bootstrap,z,0.9999918341636658,0.334358274936676
214,bootstrap,raw,0.8323510885238647,58.123416900634766
214,bootstrap,z,0.9988770484924316,0.4952240586280823
215,bootstrap,raw,0.8356835246086121,57.116859436035156
215,bootstrap,z,0.9996306896209717,0.3223533630371094
216,bootstrap,raw,0.83550626039505,57.37102508544922
216,bootstrap,z,0.9983538389205933,0.574539065361023
217,bootstrap,raw,0.8355907201766968,57.28096008300781
217,bootstrap,z,0.999369204044342,0.3766634166240692
218,bootstrap,raw,0.8348612785339355,57.32691192626953
218,bootstrap,z,0.9997321367263794,0.23034816980361938
219,bootstrap,raw,0.8273029327392578,58.82207107543945
219,bootstrap,z,0.999626874923706,0.3549853265285492
220,bootstrap,raw,0.8301818370819092,57.886165618896484
220,bootstrap,z,0.9997704029083252,0.37854695320129395
221,bootstrap,raw,0.8329686522483826,57.838077545166016
221,bootstrap,z,0.9996770620346069,0.2615668773651123
222,bootstrap,raw,0.8288154006004333,58.162776947021484
222,bootstrap,z,0.9999726414680481,0.16892065107822418
223,bootstrap,raw,0.8299033641815186,58.65511703491211
223,bootstrap,z,0.9998562335968018,0.18063609302043915
224,bootstrap,raw,0.8366154432296753,57.090232849121094
224,bootstrap,z,0.9999874234199524,0.18006427586078644
225,bootstrap,raw,0.8314609527587891,57.7184944152832
225,bootstrap,z,0.9985973238945007,0.5577189326286316
226,bootstrap,raw,0.8295193910598755,58.320640563964844
226,bootstrap,z,0.9987971782684326,0.5247070789337158
227,bootstrap,raw,0.8320230841636658,58.05455780029297
227,bootstrap,z,0.9997080564498901,0.25152847170829773
228,bootstrap,raw,0.832291841506958,57.88160705566406
228,bootstrap,z,0.9990465641021729,0.4342636466026306
229,bootstrap,raw,0.8366981744766235,57.208003997802734
229,bootstrap,z,0.9999245405197144,0.15104202926158905
230,bootstrap,raw,0.833992600440979,57.522682189941406
230,bootstrap,z,0.9998986721038818,0.15691956877708435
231,bootstrap,raw,0.8351709246635437,57.647369384765625
231,bootstrap,z,0.9995657801628113,0.3190562129020691
232,bootstrap,raw,0.8388406038284302,57.0526123046875
232,bootstrap,z,0.9998373985290527,0.23746514320373535
233,bootstrap,raw,0.8401074409484863,56.404014587402344
233,bootstrap,z,0.9991464614868164,0.41884905099868774
234,bootstrap,raw,0.833677351474762,57.648380279541016
234,bootstrap,z,0.9996804594993591,0.2548867464065552
235,bootstrap,raw,0.8298063278198242,58.18333435058594
235,bootstrap,z,0.9998329877853394,0.29922792315483093
236,bootstrap,raw,0.8333031535148621,57.92376708984375
236,bootstrap,z,0.9998801350593567,0.300656795501709
237,bootstrap,raw,0.8339401483535767,57.31771469116211
237,bootstrap,z,0.9997368454933167,0.2367335557937622
238,bootstrap,raw,0.8326578140258789,57.84675979614258
238,bootstrap,z,0.9987936019897461,0.49088701605796814
239,bootstrap,raw,0.8375397324562073,57.43647384643555
239,bootstrap,z,0.9990231394767761,0.4735131859779358
240,bootstrap,raw,0.8290414214134216,58.579620361328125
240,bootstrap,z,0.9994630813598633,0.3258680999279022
241,bootstrap,raw,0.8337113857269287,57.73130416870117
241,bootstrap,z,0.9993833303451538,0.3678552210330963
242,bootstrap,raw,0.836632251739502,57.37118911743164
242,bootstrap,z,0.9992054104804993,0.4133284091949463
243,bootstrap,raw,0.8348614573478699,57.59562301635742
243,bootstrap,z,0.9993966221809387,0.35387083888053894
244,bootstrap,raw,0.8406099081039429,57.10103988647461
244,bootstrap,z,0.9996373653411865,0.3860931396484375
245,bootstrap,raw,0.8365514278411865,57.20737075805664
245,bootstrap,z,0.9992904663085938,0.38898634910583496
246,bootstrap,raw,0.8308504223823547,57.69438934326172
246,bootstrap,z,0.9983991980552673,0.5897065997123718
247,bootstrap,raw,0.8358626365661621,56.99068832397461
247,bootstrap,z,0.9999806880950928,0.0662832036614418
248,bootstrap,raw,0.8246253728866577,59.0396614074707
248,bootstrap,z,0.9986435770988464,0.7697793841362
249,bootstrap,raw,0.8322100043296814,58.06005096435547
